model,n_centroids,n_probe,query_method,index_build_time,Query Time,Queries per second,Top-K Vote Accuracy,Top-K Average Accuracy,Mean Average Precision (MAP),Normalized Discounted Cumulative Gain (nDCG),Mean Reciprocal Rank (MRR),Top-K Vote Accuracy_gini,Top-K Vote Accuracy_celltype_gini,Top-K Average Accuracy_gini,Top-K Average Accuracy_celltype_gini,MAP_gini,MAP_celltype_gini,nDCG_gini,nDCG_celltype_gini,MRR_gini,MRR_celltype_gini,Average Entropy,Average α-NDCG
scimilarity,32,8,10x Chromium (v3),0.0329720973968505,0.0500044822692871,64434.223769155215,0.9298572315332092,0.8905214152700186,0.9063751454424984,0.9530189169451208,0.9404120049402506,0.0701427684667908,0.0540652815631433,0.0961030715044105,0.0628476687473901,0.0828098500413946,0.0564149870532801,0.0424478483170519,0.0424606081504762,0.058682982351113,0.0476142537573512,1.7547182085828756,0.8921790993805465
scimilarity,32,16,10x Chromium (v3),0.0329720973968505,0.105720043182373,30476.718538998968,0.9298572315332092,0.8907200496585972,0.9063643360261926,0.9530252493220264,0.94043786879293,0.0701427684667908,0.0540652815631433,0.0959082485652489,0.0629605610114332,0.0828237179226766,0.0564514369002806,0.0424415280399989,0.0424707054020262,0.0586557699842907,0.0476122333183392,1.7547095196602784,0.892254709417199
scimilarity,32,1,CEL-Seq2,0.0351083278656005,0.003629446029663,144925.698219799,0.8498098859315589,0.8072623574144486,0.820584383078653,0.8976844015651153,0.8697751910370659,0.150190114068441,0.0650806776290518,0.1649756892899816,0.0829263618518614,0.1527133034656416,0.0877717223029806,0.0891172298879916,0.0544901559801343,0.1264832265387613,0.073995518669009,1.4842382659853155,0.8029627456032131
scimilarity,32,2,CEL-Seq2,0.0351083278656005,0.0055446624755859,94866.00894392843,0.8555133079847909,0.8068821292775664,0.8202671620317505,0.8979146390231574,0.8731558330401258,0.1444866920152091,0.0639616280741033,0.1662974458724529,0.0823675574961503,0.1532781468425683,0.0858770553946447,0.0889887919209586,0.0533427854059651,0.1235553720581688,0.0737820056060303,1.45974934775471,0.8037225961794385
scimilarity,32,4,CEL-Seq2,0.0351083278656005,0.0079708099365234,65990.78439818138,0.8498098859315589,0.8058935361216729,0.8204503627739975,0.9000771587152199,0.8747154369139084,0.150190114068441,0.0650806776290518,0.1665757132977596,0.0832946606832891,0.1525198056474371,0.0879604589145456,0.0863036570516269,0.0552030377729973,0.1216104631740948,0.078864291078743,1.4462693972008709,0.8036336750887242
scimilarity,32,8,CEL-Seq2,0.0351083278656005,0.0127704143524169,41188.953269981146,0.8498098859315589,0.8060076045627377,0.8201559723327906,0.9000635410535848,0.8745550920510766,0.150190114068441,0.0650806776290518,0.1663968944627466,0.0841098107134657,0.1527313729725127,0.0884986406637264,0.0862745115413322,0.0554580010057366,0.1217860458696256,0.0788710349165581,1.445569256499713,0.8035937801552213
scimilarity,32,16,CEL-Seq2,0.0351083278656005,0.0217466354370117,24187.649695215543,0.8498098859315589,0.8058555133079848,0.8200743841596804,0.9000386608567142,0.8745550920510766,0.150190114068441,0.0650806776290518,0.1664964723856494,0.0841433032124332,0.1528137070406311,0.0885041001947918,0.086299537549155,0.0554625518116196,0.1217860458696256,0.0788710349165581,1.4459974941594036,0.8035640510313118
scimilarity,32,1,Drop-seq,0.0329644680023193,0.0282204151153564,233306.27749757108,0.8841130012150669,0.8229708383961118,0.8367229947628702,0.9163264253595864,0.8794945873221428,0.1158869987849331,0.091098235186392,0.1453231904107626,0.1203966267285445,0.1346955088005982,0.1133419639590761,0.0698255023380607,0.0603371286286115,0.1156829599901985,0.096006659954769,1.611091177509962,0.8225715932127997
scimilarity,32,2,Drop-seq,0.0329644680023193,0.0436122417449951,150966.78676820302,0.8810753341433779,0.8247812879708384,0.8375621588105882,0.9166728566816416,0.8779728391541969,0.1189246658566221,0.0993345735480177,0.1448506661933016,0.1224240546656913,0.1348220948452052,0.1168092993059961,0.0697511948372274,0.0618733866795121,0.1170718817755422,0.0992117328770314,1.6065866720455482,0.8235519390035382
scimilarity,32,4,Drop-seq,0.0329644680023193,0.0684971809387207,96120.7440915008,0.8824422843256379,0.8260631834750911,0.8383640352637877,0.917343029329988,0.8783134520186668,0.117557715674362,0.099730962768178,0.1437800622251389,0.1227540507295309,0.1341445066204461,0.1175831272285147,0.069129908550654,0.0619891200344804,0.116842113161417,0.1001404008306092,1.5973269425988328,0.8245423535111207
scimilarity,32,8,Drop-seq,0.0329644680023193,0.1264269351959228,52077.51014288866,0.8830498177399757,0.8261695018226003,0.8382530440027056,0.9173082209666936,0.8780443550053452,0.1169501822600243,0.0994437583722574,0.143643787059166,0.1228114867649978,0.1342483376542254,0.1176961691042436,0.0691520782502103,0.0619491919958515,0.1170643749094658,0.0999413010909736,1.596491056077222,0.824463932116235
scimilarity,32,16,Drop-seq,0.0329644680023193,0.1934058666229248,34042.40065187136,0.8830498177399757,0.8261695018226003,0.838214725495596,0.9173208734932808,0.8779666654645631,0.1169501822600243,0.0994748013339114,0.1436222544979104,0.1227804287710507,0.1342849176820263,0.1177733980504601,0.0691325176119823,0.0619727924524186,0.1171309097806924,0.1002818578565314,1.5966292833477036,0.8244431307645326
scimilarity,32,1,Seq-Well,0.0336835384368896,0.0130293369293212,289577.28397591907,0.8067850516830108,0.7576093294460642,0.7729584402739861,0.8491202601843204,0.8081197252708924,0.1932149483169891,0.1835697051219722,0.2204440932692877,0.2094438925164473,0.2057210308375933,0.1966754797963674,0.1383614636000744,0.1589615679730188,0.1868709462465289,0.1702032762876187,1.2344581889903248,0.7516762424224688
scimilarity,32,2,Seq-Well,0.0336835384368896,0.0181787014007568,207550.5789342532,0.7948582030214684,0.7540418764908561,0.7700474173470396,0.8484602602911758,0.8047901646671272,0.2051417969785316,0.1753794072773042,0.2242662670710399,0.2081198509579336,0.2087703657192424,0.1943101892044622,0.1385558057002909,0.1578417496421172,0.1898571450987547,0.1685808417055199,1.2337766605729346,0.7527377934297907
scimilarity,32,4,Seq-Well,0.0336835384368896,0.0365607738494873,103198.03447084063,0.7927378743705275,0.7521706864564007,0.7681696405639677,0.8476088615956877,0.8035636090932415,0.2072621256294725,0.1765180714315109,0.2257934912644313,0.206764666310442,0.2104278455301129,0.1941480448184818,0.1391598969121366,0.1575691207597527,0.1909108401070487,0.1689817920661944,1.2356487413951855,0.7509889448592922
scimilarity,32,8,Seq-Well,0.0336835384368896,0.0577168464660644,65370.86190629622,0.7916777100450569,0.7519003445534058,0.7677490101010707,0.8473315777008665,0.8032147207179621,0.208322289954943,0.1721614327389482,0.2260062099876837,0.2054386202005493,0.2108619836045701,0.1937171112673239,0.1394281456348691,0.1571621727744437,0.1912938801463176,0.1689897707005327,1.238199215472202,0.7504900541270423
scimilarity,32,16,Seq-Well,0.0336835384368896,0.1086080074310302,34739.61164784265,0.7919427511264246,0.751963954412934,0.7677506858987808,0.8473401179216596,0.8032147207179621,0.2080572488735754,0.1723957645872665,0.2259272819778669,0.2055546817501083,0.2108592358464521,0.1937536259093041,0.1394213258094593,0.157178327308702,0.1912938801463176,0.1689897707005327,1.2383029462447437,0.7504912636166191
scimilarity,32,1,Smart-seq2,0.0352883338928222,0.0042212009429931,124609.08805422195,0.8536121673003803,0.8469961977186311,0.8628232317813027,0.9135136673600768,0.8927273605186302,0.1463878326996197,0.0543032279346788,0.1435443147734582,0.0537210592951907,0.1284866798821498,0.0499053711214562,0.0813848132939108,0.0334061349024819,0.1057550710420629,0.0525573127501434,1.5236350375479255,0.8447688405043134
